,Unnamed: 0,title,date,stock
2515,931568.0,[[0.8335867]],2014-06-23 09:44:00-04:00,NVDA
2514,931567.0,[[0.9313552]],2014-07-17 04:24:00-04:00,NVDA
2513,931566.0,[[1.]],2014-08-04 05:02:00-04:00,NVDA
2512,931565.0,[[0.99949145]],2014-08-04 14:21:00-04:00,NVDA
6039,186829.0,[[0.00109161]],2014-08-05 16:13:00-04:00,BRK
2511,931564.0,[[0.9983658]],2014-08-07 05:35:00-04:00,NVDA
2510,931563.0,[[0.02739365]],2014-08-07 16:20:00-04:00,NVDA
2509,931562.0,[[0.9999868]],2014-08-07 16:21:00-04:00,NVDA
2508,931561.0,[[0.98780745]],2014-08-08 06:57:00-04:00,NVDA
2507,931560.0,[[0.9980354]],2014-08-08 07:17:00-04:00,NVDA
2506,931559.0,[[0.99991053]],2014-08-08 07:51:00-04:00,NVDA
2505,931558.0,[[0.9818324]],2014-08-08 08:08:00-04:00,NVDA
2504,931557.0,[[0.99893093]],2014-08-08 08:41:00-04:00,NVDA
2503,931556.0,[[0.9695058]],2014-08-08 09:43:00-04:00,NVDA
2502,931555.0,[[0.9999914]],2014-08-08 10:01:00-04:00,NVDA
2501,931554.0,[[0.99992144]],2014-08-08 10:41:00-04:00,NVDA
2500,931553.0,[[0.21937081]],2014-08-08 11:14:00-04:00,NVDA
2499,931552.0,[[0.00890557]],2014-08-08 12:54:00-04:00,NVDA
2498,931551.0,[[0.09831822]],2014-08-08 15:43:00-04:00,NVDA
2497,931550.0,[[0.99998814]],2014-08-08 16:58:00-04:00,NVDA
2496,931549.0,[[0.9999281]],2014-08-09 09:36:00-04:00,NVDA
6038,186828.0,[[0.99940044]],2014-08-12 15:44:00-04:00,BRK
5678,186468.0,[[0.9998489]],2014-08-14 10:22:00-04:00,BRK
6037,186827.0,[[0.98643655]],2014-08-20 11:11:00-04:00,BRK
5677,186467.0,[[0.98643655]],2014-08-20 11:11:00-04:00,BRK
2495,931548.0,[[0.9997831]],2014-08-26 08:31:00-04:00,NVDA
2494,931547.0,[[0.01341174]],2014-08-26 08:33:00-04:00,NVDA
2493,931546.0,[[0.9999988]],2014-08-26 12:01:00-04:00,NVDA
6036,186826.0,[[0.977892]],2014-08-27 15:37:00-04:00,BRK
6035,186825.0,[[0.99940044]],2014-09-16 15:35:00-04:00,BRK
6034,186824.0,[[0.99940044]],2014-09-17 14:27:00-04:00,BRK
6033,186823.0,[[0.99940044]],2014-09-18 14:35:00-04:00,BRK
6032,186822.0,[[0.9782498]],2014-09-19 15:16:00-04:00,BRK
6031,186821.0,[[0.99999917]],2014-10-02 08:27:00-04:00,BRK
5676,186466.0,[[0.99999917]],2014-10-02 08:27:00-04:00,BRK
2492,931545.0,[[0.9999903]],2014-10-02 11:50:00-04:00,NVDA
6030,186820.0,[[0.9995026]],2014-10-03 15:18:00-04:00,BRK
